BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:03.127,00:00:04.329,3.127,4.329,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','T'
00:00:06.254,00:00:07.697,6.254,7.697,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','F'
00:00:07.697,00:00:13.951,7.697,13.951,2,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','TWO'
00:00:18.762,00:00:19.965,18.762,19.965,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','F'
00:00:22.130,00:00:23.333,22.130,23.333,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','T'
00:00:23.333,00:00:32.954,23.333,32.954,2,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','TWO'
00:00:38.006,00:00:39.209,38.006,39.209,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','F'
00:00:41.373,00:00:42.576,41.373,42.576,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','T'
00:00:42.817,00:00:50.033,42.817,50.033,2,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','TWO'
00:00:54.363,00:00:55.566,54.363,55.566,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','F'
00:00:57.971,00:00:59.174,57.971,59.174,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','T'
00:00:59.174,00:01:04.947,59.174,64.947,2,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','TWO'
