BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:12.267,00:00:13.230,12.267,13.230,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','F'
00:00:14.432,00:00:15.635,14.432,15.635,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','T'
00:00:15.635,00:00:22.611,15.635,22.611,2,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','ONE'
00:00:34.157,00:00:35.360,34.157,35.360,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','F'
00:00:36.563,00:00:37.765,36.563,37.765,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','T'
00:00:37.765,00:00:44.741,37.765,44.741,2,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','TWO'
00:00:57.971,00:00:58.933,57.971,58.933,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','T'
00:01:00.136,00:01:01.339,60.136,61.339,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','F'
00:01:01.339,00:01:05.187,61.339,65.187,2,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','TWO'
00:01:21.785,00:01:22.988,81.785,82.988,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','F'
00:01:23.950,00:01:25.393,83.950,85.393,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','T'
00:01:25.393,00:01:35.256,85.393,95.256,2,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','TWO'
