BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:36.322,00:00:37.525,36.322,37.525,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','F'
00:00:38.727,00:00:39.930,38.727,39.930,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','T'
00:00:39.930,00:00:52.439,39.930,52.439,2,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','TWO'
00:01:00.136,00:01:01.339,60.136,61.339,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','F'
00:01:02.541,00:01:03.744,62.541,63.744,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','T'
00:01:03.744,00:01:08.315,63.744,68.315,2,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','ONE'
00:01:31.647,00:01:32.610,91.647,92.610,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','T'
00:01:33.812,00:01:35.015,93.812,95.015,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','F'
00:01:35.015,00:01:40.788,95.015,100.788,2,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','TWO'
00:01:49.207,00:01:50.169,109.207,110.169,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','T'
00:01:51.372,00:01:52.575,111.372,112.575,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','F'
00:01:52.575,00:01:58.589,112.575,118.589,2,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','ONE'
