BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:02.646,00:00:03.848,2.646,3.848,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','F'
00:00:05.292,00:00:06.494,5.292,6.494,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','T'
00:00:06.494,00:00:11.546,6.494,11.546,2,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','TWO'
00:00:14.432,00:00:15.876,14.432,15.876,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','T'
00:00:17.078,00:00:18.522,17.078,18.522,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','F'
00:00:18.522,00:00:23.092,18.522,23.092,2,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','TWO'
00:00:26.219,00:00:27.422,26.219,27.422,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','T'
00:00:28.865,00:00:30.068,28.865,30.068,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','F'
00:00:30.068,00:00:34.638,30.068,34.638,2,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','TWO'
00:00:37.765,00:00:38.968,37.765,38.968,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','F'
00:00:40.411,00:00:41.614,40.411,41.614,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','T'
00:00:41.614,00:00:48.590,41.614,48.590,2,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','TWO'
