BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:11.546,00:00:12.508,11.546,12.508,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','T'
00:00:13.711,00:00:14.913,13.711,14.913,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','F'
00:00:14.913,00:00:20.687,14.913,20.687,2,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','TWO'
00:00:24.295,00:00:25.497,24.295,25.497,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','F'
00:00:26.460,00:00:27.662,26.460,27.662,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','T'
00:00:27.662,00:00:29.587,27.662,29.587,2,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','ONE'
00:00:34.879,00:00:36.322,34.879,36.322,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','T'
00:00:37.284,00:00:38.487,37.284,38.487,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','F'
00:00:38.487,00:00:43.779,38.487,43.779,2,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','TWO'
00:01:22.026,00:01:22.988,82.026,82.988,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','T'
00:01:24.191,00:01:25.393,84.191,85.393,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','F'
00:01:25.393,00:01:31.166,85.393,91.166,2,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','TWO'
