BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:03.127,00:00:04.329,3.127,4.329,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','T'
00:00:05.532,00:00:06.735,5.532,6.735,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','F'
00:00:06.735,00:00:12.267,6.735,12.267,2,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','TWO'
00:00:29.346,00:00:30.308,29.346,30.308,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','F'
00:00:31.511,00:00:32.714,31.511,32.714,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','T'
00:00:32.714,00:00:38.487,32.714,38.487,2,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','ONE'
00:00:48.830,00:00:50.033,48.830,50.033,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','F'
00:00:50.995,00:00:52.439,50.995,52.439,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','T'
00:00:52.439,00:01:00.858,52.439,60.858,2,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','TWO'
00:01:05.428,00:01:06.631,65.428,66.631,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','T'
00:01:07.833,00:01:09.036,67.833,69.036,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','F'
