BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:02.165,00:00:03.367,2.165,3.367,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','T'
00:00:04.329,00:00:05.773,4.329,5.773,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','F'
00:00:05.773,00:00:13.951,5.773,13.951,2,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','ONE'
00:00:16.838,00:00:18.041,16.838,18.041,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','T'
00:00:19.003,00:00:20.205,19.003,20.205,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','F'
00:00:20.205,00:00:29.587,20.205,29.587,2,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','TWO'
00:00:42.095,00:00:43.298,42.095,43.298,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','F'
00:00:44.501,00:00:45.703,44.501,45.703,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','T'
00:00:45.703,00:00:56.287,45.703,56.287,2,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','ONE'
00:00:59.655,00:01:00.858,59.655,60.858,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','F'
00:01:01.820,00:01:03.023,61.820,63.023,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','T'
00:01:03.023,00:01:14.088,63.023,74.088,2,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','ONE'
