BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:01.683,00:00:02.886,1.683,2.886,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','F'
00:00:03.848,00:00:05.051,3.848,5.051,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','T'
00:00:05.051,00:00:11.786,5.051,11.786,2,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','ONE'
00:00:19.724,00:00:20.927,19.724,20.927,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','F'
00:00:22.130,00:00:23.333,22.130,23.333,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','T'
00:00:23.333,00:00:32.473,23.333,32.473,2,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','ONE'
00:00:44.260,00:00:45.222,44.260,45.222,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','T'
00:00:46.425,00:00:47.628,46.425,47.628,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','F'
00:00:47.628,00:00:55.085,47.628,55.085,2,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','TWO'
00:01:01.579,00:01:02.782,61.579,62.782,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','F'
00:01:03.744,00:01:04.947,63.744,64.947,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','T'
00:01:04.947,00:01:12.404,64.947,72.404,2,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','ONE'
