BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:01.683,00:00:02.886,1.683,2.886,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','F'
00:00:03.848,00:00:05.292,3.848,5.292,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','T'
00:00:05.292,00:00:10.824,5.292,10.824,2,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','ONE'
00:00:19.243,00:00:20.205,19.243,20.205,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','T'
00:00:21.168,00:00:22.611,21.168,22.611,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','F'
00:00:22.611,00:00:27.422,22.611,27.422,2,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','TWO'
00:00:35.119,00:00:36.081,35.119,36.081,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','F'
00:00:37.284,00:00:38.487,37.284,38.487,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','T'
00:00:38.487,00:00:45.222,38.487,45.222,2,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','TWO'
00:00:50.995,00:00:51.957,50.995,51.957,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','T'
00:00:53.160,00:00:54.363,53.160,54.363,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','F'
00:00:54.363,00:00:58.693,54.363,58.693,2,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','ONE'
