BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:02.405,00:00:03.367,2.405,3.367,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','F'
00:00:04.570,00:00:05.773,4.570,5.773,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','T'
00:00:05.773,00:00:14.673,5.773,14.673,2,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','ONE'
00:00:18.522,00:00:19.724,18.522,19.724,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','T'
00:00:20.687,00:00:21.889,20.687,21.889,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','F'
00:00:21.889,00:00:27.422,21.889,27.422,2,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','TWO'
00:00:29.587,00:00:31.030,29.587,31.030,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','F'
00:00:31.992,00:00:33.195,31.992,33.195,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','T'
00:00:33.195,00:00:39.209,33.195,39.209,2,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','ONE'
00:00:41.373,00:00:42.817,41.373,42.817,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','F'
00:00:43.779,00:00:44.982,43.779,44.982,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','T'
00:00:44.982,00:00:49.311,44.982,49.311,2,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','TWO'
