BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:04.811,00:00:05.773,4.811,5.773,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','T'
00:00:06.975,00:00:08.178,6.975,8.178,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','F'
00:00:08.178,00:00:20.446,8.178,20.446,2,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','TWO'
00:00:22.851,00:00:23.814,22.851,23.814,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','F'
00:00:25.016,00:00:26.219,25.016,26.219,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','T'
00:00:26.219,00:00:35.360,26.219,35.360,2,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','ONE'
00:00:38.727,00:00:39.690,38.727,39.690,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','T'
00:00:40.892,00:00:42.095,40.892,42.095,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','F'
00:00:42.095,00:00:51.476,42.095,51.476,2,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','TWO'
00:00:53.401,00:00:54.603,53.401,54.603,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','T'
00:00:55.566,00:00:56.768,55.566,56.768,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','F'
00:00:56.768,00:01:02.541,56.768,62.541,2,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','ONE'
