BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:33.676,00:00:34.638,33.676,34.638,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','T'
00:00:35.841,00:00:37.044,35.841,37.044,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','F'
00:00:37.044,00:00:42.817,37.044,42.817,2,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','TWO'
00:02:33.708,00:02:34.911,153.708,154.911,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','F'
00:02:35.873,00:02:37.076,155.873,157.076,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','T'
00:02:37.076,00:02:40.925,157.076,160.925,2,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','TWO'
00:02:50.787,00:02:51.990,170.787,171.990,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','T'
00:02:53.192,00:02:54.155,173.192,174.155,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','F'
00:02:54.155,00:02:56.801,174.155,176.801,2,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','ONE'
00:03:04.257,00:03:05.460,184.257,185.460,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','T'
00:03:06.663,00:03:07.625,186.663,187.625,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','F'
00:03:07.625,00:03:11.233,187.625,191.233,2,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','ONE'
