BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:04.329,00:00:05.532,4.329,5.532,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','T'
00:00:06.735,00:00:07.938,6.735,7.938,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','F'
00:00:07.938,00:00:12.749,7.938,12.749,2,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','ONE'
00:00:19.484,00:00:20.687,19.484,20.687,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','F'
00:00:21.649,00:00:22.851,21.649,22.851,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','T'
00:00:22.851,00:00:27.662,22.851,27.662,2,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','TWO'
00:00:40.411,00:00:41.373,40.411,41.373,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','F'
00:00:42.576,00:00:43.779,42.576,43.779,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','T'
00:00:43.779,00:00:46.906,43.779,46.906,2,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','TWO'
00:00:50.274,00:00:51.476,50.274,51.476,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','T'
00:00:52.439,00:00:53.641,52.439,53.641,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','F'
00:00:53.641,00:00:55.566,53.641,55.566,2,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','ONE'
