BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:02.405,00:00:03.608,2.405,3.608,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','F'
00:00:04.811,00:00:06.013,4.811,6.013,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','T'
00:00:06.254,00:00:09.381,6.254,9.381,2,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','ONE'
00:00:23.814,00:00:25.016,23.814,25.016,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','F'
00:00:25.979,00:00:27.422,25.979,27.422,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','T'
00:00:27.422,00:00:29.346,27.422,29.346,2,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','TWO'
00:00:35.600,00:00:36.803,35.600,36.803,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','F'
00:00:37.765,00:00:38.968,37.765,38.968,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','T'
00:00:38.968,00:00:42.576,38.968,42.576,2,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','TWO'
00:00:45.463,00:00:46.665,45.463,46.665,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','T'
00:00:47.868,00:00:49.071,47.868,49.071,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','F'
