BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:01.924,00:00:03.127,1.924,3.127,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','F'
00:00:04.329,00:00:05.532,4.329,5.532,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','T'
00:00:05.532,00:00:07.697,5.532,7.697,2,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','TWO'
00:00:11.786,00:00:12.989,11.786,12.989,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','T'
00:00:13.951,00:00:15.154,13.951,15.154,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','F'
00:00:15.154,00:00:19.965,15.154,19.965,2,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','TWO'
00:00:26.941,00:00:28.143,26.941,28.143,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','T'
00:00:29.346,00:00:30.549,29.346,30.549,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','F'
00:00:30.549,00:00:33.195,30.549,33.195,2,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','ONE'
00:00:38.727,00:00:39.930,38.727,39.930,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','T'
00:00:41.133,00:00:42.336,41.133,42.336,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','F'
00:00:42.336,00:00:44.982,42.336,44.982,2,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','TWO'
