BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:26.941,00:00:28.143,26.941,28.143,3,'NADL/V1-B2F.ogg','NADL/V1-B2F.ogg','T'
00:00:29.827,00:00:31.030,29.827,31.030,3,'NADL/V1-B2F.ogg','NADL/V1-B2F.ogg','F'
00:00:31.030,00:00:40.892,31.030,40.892,2,'NADL/V1-B2F.ogg','NADL/V1-B2F.ogg','ONE'
00:00:45.463,00:00:46.906,45.463,46.906,3,'NADL/V1-J2F.ogg','NADL/V1-J2F.ogg','F'
00:00:48.349,00:00:49.793,48.349,49.793,3,'NADL/V1-J2F.ogg','NADL/V1-J2F.ogg','T'
00:00:49.793,00:00:57.249,49.793,57.249,2,'NADL/V1-J2F.ogg','NADL/V1-J2F.ogg','ONE'
00:00:59.414,00:01:00.858,59.414,60.858,3,'NADL/V1-A2F.ogg','NADL/V1-A2F.ogg','T'
00:01:02.301,00:01:03.744,62.301,63.744,3,'NADL/V1-A2F.ogg','NADL/V1-A2F.ogg','F'
00:01:03.744,00:01:07.833,63.744,67.833,2,'NADL/V1-A2F.ogg','NADL/V1-A2F.ogg','TWO'
00:01:10.720,00:01:12.163,70.720,72.163,3,'NADL/V1-O2F.ogg','NADL/V1-O2F.ogg','T'
00:01:13.607,00:01:14.809,73.607,74.809,3,'NADL/V1-O2F.ogg','NADL/V1-O2F.ogg','F'
00:01:14.809,00:01:21.545,74.809,81.545,2,'NADL/V1-O2F.ogg','NADL/V1-O2F.ogg','ONE'
00:01:24.431,00:01:25.634,84.431,85.634,3,'NADL/V1-G2F.ogg','NADL/V1-G2F.ogg','F'
00:01:27.318,00:01:28.520,87.318,88.520,3,'NADL/V1-G2F.ogg','NADL/V1-G2F.ogg','T'
00:01:28.520,00:01:35.015,88.520,95.015,2,'NADL/V1-G2F.ogg','NADL/V1-G2F.ogg','TWO'
00:01:37.180,00:01:38.383,97.180,98.383,3,'NADL/V1-P2F.ogg','NADL/V1-P2F.ogg','T'
00:01:39.826,00:01:41.269,99.826,101.269,3,'NADL/V1-P2F.ogg','NADL/V1-P2F.ogg','F'
