Participant,BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
1,00:00:04.329,00:00:05.532,4.329,5.532,3,'NADL/V1-D1F.ogg','NADL/V1-D1F.ogg','F'
1,00:00:06.735,00:00:08.178,6.735,8.178,3,'NADL/V1-D1F.ogg','NADL/V1-D1F.ogg','T'
1,00:00:08.178,00:00:46.906,8.178,46.906,2,'NADL/V1-D1F.ogg','NADL/V1-D1F.ogg','ONE'
1,00:00:55.566,00:00:56.768,55.566,56.768,3,'NADL/V1-E1F.ogg','NADL/V1-E1F.ogg','T'
1,00:00:57.731,00:00:59.174,57.731,59.174,3,'NADL/V1-E1F.ogg','NADL/V1-E1F.ogg','F'
1,00:00:59.174,00:01:43.434,59.174,103.434,2,'NADL/V1-E1F.ogg','NADL/V1-E1F.ogg','ONE'
1,00:01:47.042,00:01:48.486,107.042,108.486,3,'NADL/V1-H1F.ogg','NADL/V1-H1F.ogg','F'
1,00:01:49.448,00:01:50.891,109.448,110.891,3,'NADL/V1-H1F.ogg','NADL/V1-H1F.ogg','T'
1,00:01:50.891,00:01:57.145,110.891,117.145,2,'NADL/V1-H1F.ogg','NADL/V1-H1F.ogg','ONE'
1,00:02:10.135,00:02:11.337,130.135,131.337,3,'NADL/V1-P1F.ogg','NADL/V1-P1F.ogg','T'
1,00:02:12.300,00:02:13.743,132.300,133.743,3,'NADL/V1-P1F.ogg','NADL/V1-P1F.ogg','F'
1,00:02:13.743,00:02:36.354,133.743,156.354,2,'NADL/V1-P1F.ogg','NADL/V1-P1F.ogg','TWO'
1,00:02:42.608,00:02:44.052,162.608,164.052,3,'NADL/V1-J1F.ogg','NADL/V1-J1F.ogg','T'
1,00:02:45.014,00:02:46.457,165.014,166.457,3,'NADL/V1-J1F.ogg','NADL/V1-J1F.ogg','F'
1,00:02:46.457,00:03:24.704,166.457,204.704,2,'NADL/V1-J1F.ogg','NADL/V1-J1F.ogg','TWO'
1,00:03:29.515,00:03:30.717,209.515,210.717,3,'NADL/V1-O1F.ogg','NADL/V1-O1F.ogg','F'
1,00:03:31.920,00:03:33.363,211.920,213.363,3,'NADL/V1-O1F.ogg','NADL/V1-O1F.ogg','T'
1,00:03:33.363,00:03:54.772,213.363,234.772,2,'NADL/V1-O1F.ogg','NADL/V1-O1F.ogg','ONE'
1,00:03:59.823,00:04:01.026,239.823,241.026,3,'NADL/V1-L1F.ogg','NADL/V1-L1F.ogg','F'
1,00:04:01.988,00:04:03.432,241.988,243.432,3,'NADL/V1-L1F.ogg','NADL/V1-L1F.ogg','T'
1,00:04:03.432,00:04:35.424,243.432,275.424,2,'NADL/V1-L1F.ogg','NADL/V1-L1F.ogg','ONE'
1,00:04:39.513,00:04:40.957,279.513,280.957,3,'NADL/V1-F1F.ogg','NADL/V1-F1F.ogg','F'
1,00:04:42.159,00:04:43.362,282.159,283.362,3,'NADL/V1-F1F.ogg','NADL/V1-F1F.ogg','T'
1,00:04:43.362,00:05:12.228,283.362,312.228,2,'NADL/V1-F1F.ogg','NADL/V1-F1F.ogg','TWO'
1,00:05:19.685,00:05:21.128,319.685,321.128,3,'NADL/V1-A1F.ogg','NADL/V1-A1F.ogg','F'
1,00:05:22.090,00:05:23.533,322.090,323.533,3,'NADL/V1-A1F.ogg','NADL/V1-A1F.ogg','T'
1,00:05:23.533,00:06:00.818,323.533,360.818,2,'NADL/V1-A1F.ogg','NADL/V1-A1F.ogg','ONE'
1,00:06:04.907,00:06:06.110,364.907,366.110,3,'NADL/V1-M1F.ogg','NADL/V1-M1F.ogg','F'
1,00:06:07.313,00:06:08.756,367.313,368.756,3,'NADL/V1-M1F.ogg','NADL/V1-M1F.ogg','T'
1,00:06:08.756,00:06:22.948,368.756,382.948,2,'NADL/V1-M1F.ogg','NADL/V1-M1F.ogg','TWO'
1,00:06:30.405,00:06:31.608,390.405,391.608,3,'NADL/V1-G1F.ogg','NADL/V1-G1F.ogg','F'
1,00:06:32.570,00:06:34.013,392.570,394.013,3,'NADL/V1-G1F.ogg','NADL/V1-G1F.ogg','T'
1,00:06:34.013,00:06:49.649,394.013,409.649,2,'NADL/V1-G1F.ogg','NADL/V1-G1F.ogg','TWO'
1,00:06:52.535,00:06:53.738,412.535,413.738,3,'NADL/V1-B1F.ogg','NADL/V1-B1F.ogg','F'
1,00:06:54.941,00:06:56.384,414.941,416.384,3,'NADL/V1-B1F.ogg','NADL/V1-B1F.ogg','T'
1,00:06:56.384,00:07:25.971,416.384,445.971,2,'NADL/V1-B1F.ogg','NADL/V1-B1F.ogg','ONE'
1,00:07:37.277,00:07:38.479,457.277,458.479,3,'NADL/V1-C1F.ogg','NADL/V1-C1F.ogg','F'
1,00:07:39.682,00:07:41.125,459.682,461.125,3,'NADL/V1-C1F.ogg','NADL/V1-C1F.ogg','T'
1,00:07:41.125,00:08:02.293,461.125,482.293,2,'NADL/V1-C1F.ogg','NADL/V1-C1F.ogg','TWO'
1,00:08:08.307,00:08:09.510,488.307,489.510,3,'NADL/V1-K1F.ogg','NADL/V1-K1F.ogg','F'
1,00:08:10.712,00:08:12.156,490.712,492.156,3,'NADL/V1-K1F.ogg','NADL/V1-K1F.ogg','T'
1,00:08:12.156,00:08:53.529,492.156,533.529,2,'NADL/V1-K1F.ogg','NADL/V1-K1F.ogg','ONE'
1,00:08:56.897,00:08:58.100,536.897,538.100,3,'NADL/V1-I1F.ogg','NADL/V1-I1F.ogg','T'
1,00:08:59.303,00:09:00.746,539.303,540.746,3,'NADL/V1-I1F.ogg','NADL/V1-I1F.ogg','F'
1,00:09:00.746,00:09:14.697,540.746,554.697,2,'NADL/V1-I1F.ogg','NADL/V1-I1F.ogg','TWO'
1,00:09:19.989,00:09:21.192,559.989,561.192,3,'NADL/V1-Q1F.ogg','NADL/V1-Q1F.ogg','T'
1,00:09:22.395,00:09:23.598,562.395,563.598,3,'NADL/V1-Q1F.ogg','NADL/V1-Q1F.ogg','F'
1,00:09:23.838,00:09:35.865,563.838,575.865,2,'NADL/V1-Q1F.ogg','NADL/V1-Q1F.ogg','ONE'
1,00:09:39.474,00:09:40.917,579.474,580.917,3,'NADL/V1-N1F.ogg','NADL/V1-N1F.ogg','F'
1,00:09:41.879,00:09:43.322,581.879,583.322,3,'NADL/V1-N1F.ogg','NADL/V1-N1F.ogg','T'
1,00:09:43.322,00:09:53.906,583.322,593.906,2,'NADL/V1-N1F.ogg','NADL/V1-N1F.ogg','TWO'
1,00:09:57.515,00:09:58.717,597.515,598.717,3,'NADL/V1-R1F.ogg','NADL/V1-R1F.ogg','F'
1,00:09:59.920,00:10:01.363,599.920,601.363,3,'NADL/V1-R1F.ogg','NADL/V1-R1F.ogg','T'
1,00:10:01.363,00:10:14.112,601.363,614.112,2,'NADL/V1-R1F.ogg','NADL/V1-R1F.ogg','TWO'
2,00:00:28.865,00:00:30.068,28.865,30.068,3,'NADL/V3-E1F.ogg','NADL/V3-E1F.ogg','F'
2,00:00:31.271,00:00:32.473,31.271,32.473,3,'NADL/V3-E1F.ogg','NADL/V3-E1F.ogg','T'
2,00:00:32.473,00:00:38.487,32.473,38.487,2,'NADL/V3-E1F.ogg','NADL/V3-E1F.ogg','TWO'
2,00:00:42.336,00:00:43.538,42.336,43.538,3,'NADL/V3-M1F.ogg','NADL/V3-M1F.ogg','T'
2,00:00:44.741,00:00:45.944,44.741,45.944,3,'NADL/V3-M1F.ogg','NADL/V3-M1F.ogg','F'
2,00:00:46.184,00:00:53.401,46.184,53.401,2,'NADL/V3-M1F.ogg','NADL/V3-M1F.ogg','ONE'
2,00:00:57.971,00:00:59.174,57.971,59.174,3,'NADL/V3-P1F.ogg','NADL/V3-P1F.ogg','F'
2,00:01:00.377,00:01:01.579,60.377,61.579,3,'NADL/V3-P1F.ogg','NADL/V3-P1F.ogg','T'
2,00:01:01.579,00:01:07.352,61.579,67.352,2,'NADL/V3-P1F.ogg','NADL/V3-P1F.ogg','ONE'
2,00:01:12.163,00:01:13.366,72.163,73.366,3,'NADL/V3-D1F.ogg','NADL/V3-D1F.ogg','F'
2,00:01:14.569,00:01:15.771,74.569,75.771,3,'NADL/V3-D1F.ogg','NADL/V3-D1F.ogg','T'
2,00:01:15.771,00:01:17.215,75.771,77.215,2,'NADL/V3-D1F.ogg','NADL/V3-D1F.ogg','TWO'
2,00:01:20.101,00:01:21.545,80.101,81.545,3,'NADL/V3-I1F.ogg','NADL/V3-I1F.ogg','T'
2,00:01:22.747,00:01:23.950,82.747,83.950,3,'NADL/V3-I1F.ogg','NADL/V3-I1F.ogg','F'
2,00:01:23.950,00:01:28.761,83.950,88.761,2,'NADL/V3-I1F.ogg','NADL/V3-I1F.ogg','ONE'
2,00:01:30.926,00:01:32.369,90.926,92.369,3,'NADL/V3-O1F.ogg','NADL/V3-O1F.ogg','F'
2,00:01:33.331,00:01:34.775,93.331,94.775,3,'NADL/V3-O1F.ogg','NADL/V3-O1F.ogg','T'
2,00:01:34.775,00:01:41.750,94.775,101.750,2,'NADL/V3-O1F.ogg','NADL/V3-O1F.ogg','ONE'
2,00:01:45.118,00:01:46.561,105.118,106.561,3,'NADL/V3-R1F.ogg','NADL/V3-R1F.ogg','F'
2,00:01:47.523,00:01:48.967,107.523,108.967,3,'NADL/V3-R1F.ogg','NADL/V3-R1F.ogg','T'
2,00:01:48.967,00:01:56.664,108.967,116.664,2,'NADL/V3-R1F.ogg','NADL/V3-R1F.ogg','TWO'
2,00:02:00.032,00:02:01.235,120.032,121.235,3,'NADL/V3-B1F.ogg','NADL/V3-B1F.ogg','T'
2,00:02:02.437,00:02:03.881,122.437,123.881,3,'NADL/V3-B1F.ogg','NADL/V3-B1F.ogg','F'
2,00:02:03.881,00:02:08.451,123.881,128.451,2,'NADL/V3-B1F.ogg','NADL/V3-B1F.ogg','ONE'
2,00:02:11.337,00:02:12.540,131.337,132.540,3,'NADL/V3-K1F.ogg','NADL/V3-K1F.ogg','T'
2,00:02:13.743,00:02:15.186,133.743,135.186,3,'NADL/V3-K1F.ogg','NADL/V3-K1F.ogg','F'
2,00:02:15.186,00:02:20.478,135.186,140.478,2,'NADL/V3-K1F.ogg','NADL/V3-K1F.ogg','ONE'
2,00:02:23.605,00:02:25.049,143.605,145.049,3,'NADL/V3-F1F.ogg','NADL/V3-F1F.ogg','F'
2,00:02:26.011,00:02:27.454,146.011,147.454,3,'NADL/V3-F1F.ogg','NADL/V3-F1F.ogg','T'
2,00:02:27.454,00:02:30.581,147.454,150.581,2,'NADL/V3-F1F.ogg','NADL/V3-F1F.ogg','TWO'
