experiment,version,participant,item.pair,correct.bin,pair.order,response.type,response.num,response.dur,response.start,true.dur,true.start,foil.dur,foil.start,true.type,true.structure,true.pos1,true.pos2,true.pos3,true.RFname,phase,foil.type,foil.structure,foil.pos1,foil.pos2,foil.pos3,foil.RFname,language_mother,language_father,age,sex,grade,notes,education,test.type,competitor.type
1,1,1,A,0,foil-true,foil,1,37.28499999999997,323.533,1.4430000000000405,322.09,1.4429999999999836,319.685,word,AXB,A1,X1,B1,A1_X1_B1.wav,segmentation,partword,CAX,B3,A1,X3,B3_A1_X3.wav,Sudest,YD,18,F,8,NA,secondary,SEG,part-word
1,1,1,B,0,foil-true,foil,1,29.58699999999999,416.384,1.4430000000000405,414.941,1.2029999999999745,412.535,word,AXB,A2,X1,B2,A2_X1_B2.wav,segmentation,partword,CAX,B1,A2,X2,B1_A2_X2.wav,Sudest,YD,18,F,8,NA,secondary,SEG,part-word
1,1,1,C,1,foil-true,true,2,21.168000000000006,461.125,1.4429999999999836,459.682,1.2019999999999982,457.277,word,AXB,A3,X2,B3,A3_X2_B3.wav,segmentation,partword,XCA,X3,B3,A3,X3_B3_A3.wav,Sudest,YD,18,F,8,NA,secondary,SEG,part-word
1,1,1,D,0,foil-true,foil,1,38.727999999999994,8.178,1.4430000000000005,6.735,1.2030000000000003,4.329,word,AXB,A2,X3,B2,A2_X3_B2.wav,segmentation,partword,XCA,X2,B2,A1,X2_B2_A1.wav,Sudest,YD,18,F,8,NA,secondary,SEG,part-word
1,1,1,E,1,true-foil,true,1,44.26,59.174,1.2019999999999982,55.566,1.4429999999999978,57.731,word,AXB,A1,X2,B1,A1_X2_B1.wav,segmentation,partword,XCA,X2,B1,A2,X2_B1_A2.wav,Sudest,YD,18,F,8,NA,secondary,SEG,part-word
1,1,1,F,1,foil-true,true,2,28.865999999999985,283.362,1.2030000000000314,282.159,1.4440000000000168,279.513,word,AXB,A2,X2,B2,A2_X2_B2.wav,segmentation,partword,XCA,X1,B2,A3,X1_B2_A3.wav,Sudest,YD,18,F,8,NA,secondary,SEG,part-word
1,1,1,G,1,foil-true,true,2,15.636000000000024,394.013,1.4429999999999836,392.57,1.2030000000000314,390.405,word,AXB,A3,X1,B3,A3_X1_B3.wav,segmentation,partword,CAX,B1,A3,X3,B1_A3_X3.wav,Sudest,YD,18,F,8,NA,secondary,SEG,part-word
1,1,1,H,0,foil-true,foil,1,6.253999999999991,110.891,1.443000000000012,109.448,1.4440000000000026,107.042,word,AXB,A1,X3,B1,A1_X3_B1.wav,segmentation,partword,CAX,B2,A1,X1,B2_A1_X1.wav,Sudest,YD,18,F,8,NA,secondary,SEG,part-word
1,1,1,I,0,true-foil,foil,2,13.951000000000022,540.746,1.2029999999999745,536.897,1.4429999999999836,539.303,word,AXB,A3,X3,B3,A3_X3_B3.wav,segmentation,partword,XCA,X1,B3,A2,X1_B3_A2.wav,Sudest,YD,18,F,8,NA,secondary,SEG,part-word
1,1,1,J,0,true-foil,foil,2,38.247000000000014,166.457,1.4439999999999884,162.608,1.4429999999999836,165.014,ruleword,AXB,A3,X5,B3,A3_X5_B3.wav,generalization,partword,NCA,X5,B3,A3,X5_B3_A3.wav,Sudest,YD,18,F,8,NA,secondary,GEN,part-word
1,1,1,K,0,foil-true,foil,1,41.37299999999999,492.156,1.4440000000000168,490.712,1.2029999999999745,488.307,ruleword,AXB,A2,X4,B2,A2_X4_B2.wav,generalization,partword,XNA,X1,X4,A2,X1_X4_A2.wav,Sudest,YD,18,F,8,NA,secondary,GEN,part-word
1,1,1,L,0,foil-true,foil,1,31.99199999999999,243.432,1.4439999999999884,241.988,1.203000000000003,239.823,ruleword,AXB,A3,X6,B3,A3_X6_B3.wav,generalization,partword,XNA,X3,X6,A3,X3_X6_A3.wav,Sudest,YD,18,F,8,NA,secondary,GEN,part-word
1,1,1,M,1,foil-true,true,2,14.192000000000007,368.756,1.4429999999999836,367.313,1.2030000000000314,364.907,ruleword,AXB,A1,X6,B1,A1_X6_B1.wav,generalization,partword,CAN,B1,A1,X6,B1_A1_X6.wav,Sudest,YD,18,F,8,NA,secondary,GEN,part-word
1,1,1,N,1,foil-true,true,2,10.583999999999946,583.322,1.4429999999999836,581.879,1.4429999999999836,579.474,ruleword,AXB,A1,X4,B1,A1_X4_B1.wav,generalization,partword,NCA,X4,B1,A1,X4_B1_A1.wav,Sudest,YD,18,F,8,NA,secondary,GEN,part-word
1,1,1,O,0,foil-true,foil,1,21.408999999999992,213.363,1.443000000000012,211.92,1.2020000000000266,209.515,ruleword,AXB,A2,X5,B2,A2_X5_B2.wav,generalization,partword,CAN,B2,A2,X5,B2_A2_X5.wav,Sudest,YD,18,F,8,NA,secondary,GEN,part-word
1,1,1,P,0,true-foil,foil,2,22.61100000000002,133.743,1.2019999999999982,130.135,1.4429999999999836,132.3,ruleword,AXB,A3,X4,B3,A3_X4_B3.wav,generalization,partword,CAN,B3,A3,X4,B3_A3_X4.wav,Sudest,YD,18,F,8,NA,secondary,GEN,part-word
1,1,1,Q,1,true-foil,true,1,12.027000000000044,563.838,1.2029999999999745,559.989,1.2029999999999745,562.395,ruleword,AXB,A1,X5,B1,A1_X5_B1.wav,generalization,partword,XNA,X2,X5,A1,X2_X5_A1.wav,Sudest,YD,18,F,8,NA,secondary,GEN,part-word
1,1,1,R,1,foil-true,true,2,12.74899999999991,601.363,1.4430000000000973,599.92,1.2019999999999982,597.515,ruleword,AXB,A2,X6,B2,A2_X6_B2.wav,generalization,partword,NCA,X6,B2,A2,X6_B2_A2.wav,Sudest,YD,18,F,8,NA,secondary,GEN,part-word
1,1,8,A,1,foil-true,true,2,2.405000000000001,123.64,1.4429999999999978,122.197,1.203000000000003,119.791,word,AXB,A1,X1,B1,A1_X1_B1.wav,segmentation,partword,CAX,B3,A1,X3,B3_A1_X3.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,B,1,foil-true,true,2,9.62100000000001,209.034,1.4439999999999884,207.59,1.203000000000003,205.185,word,AXB,A2,X1,B2,A2_X1_B2.wav,segmentation,partword,CAX,B1,A2,X2,B1_A2_X2.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,C,0,true-foil,foil,2,6.736000000000018,247.761,1.2019999999999982,243.913,1.4429999999999836,246.318,word,AXB,A3,X2,B3,A3_X2_B3.wav,segmentation,partword,XCA,X3,B3,A3,X3_B3_A3.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,D,0,foil-true,foil,1,4.57,36.563,1.4440000000000026,35.119,1.203000000000003,32.714,word,AXB,A2,X3,B2,A2_X3_B2.wav,segmentation,partword,XCA,X2,B2,A1,X2_B2_A1.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,E,0,true-foil,foil,2,15.876,13.711,1.202,10.103,1.2030000000000012,12.508,word,AXB,A1,X2,B1,A1_X2_B1.wav,segmentation,partword,XCA,X2,B1,A2,X2_B1_A2.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,F,0,true-foil,foil,2,7.697999999999993,93.331,1.203000000000003,89.723,1.4429999999999978,91.888,word,AXB,A2,X2,B2,A2_X2_B2.wav,segmentation,partword,XCA,X1,B2,A3,X1_B2_A3.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,G,0,true-foil,foil,2,6.494,148.657,1.443000000000012,144.808,1.4440000000000168,147.213,word,AXB,A3,X1,B3,A3_X1_B3.wav,segmentation,partword,CAX,B1,A3,X3,B1_A3_X3.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
