row,experiment,participant,failure,version,language_mother,language_father,age,sex,grade,notes
1,1,1,,1,Sudest,YD,18,F,8,
2,1,2,,3,YD,YD,21,F,10,
3,1,3,,4,Central,YD,19,F,8,
4,1,4,,2,YD,YD,29,F,10,
5,1,5,,2,YD,YD,30,F,10,
6,1,6,,3,YD,YD,22,F,12,
7,1,7,a,0,YD,YD,35,F,10,
8,1,7,b,0,YD,YD,29,F,8,
9,1,7,x,0,Sudest,YD,24,F,10,No recordings of the failed training trials because I deleted her data before I started keeping failed training sessions.
10,1,7,,2,YD,YD,19,F,8,
11,1,8,,1,YD,YD,22,F,8,
12,1,9,,4,YD,YD,28,F,10,
13,1,10,,3,YD,YD,18,F,8,
14,1,11,,1,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right."
15,1,12,a,0,YD,YD,20,M,8,
16,1,12,,4,YD,YD,26,M,8,
17,1,13,,3,YD,YD,23,M,8,
18,1,14,a,0,YD,YD,28,M,8,
19,1,14,,1,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission."
20,1,15,,4,Goodenough,YD,21,M,10,
21,1,16,a,0,Daru,YD,29,M,8,
22,1,16,,4,YD,YD,33,M,6,
23,1,17,a,0,YD,YD,19,F,8,
24,1,17,,2,YD,YD,25,F,10,
25,1,18,,3,Wamera,YD,28,M,10,
26,1,19,,1,YD,YD,35,M,10,
27,1,20,a,0,YD,YD,33,F,6,
28,1,20,,2,YD,YD,28,F,12,
29,2,21,,2,YD,YD,31,M,8,
30,2,22,,2,YD,YD,18,F,3,
31,2,23,,4,Sudest,YD,20,M,8,
32,2,24,,3,YD,YD,26,M,8,
33,2,25,,1,YD,YD,24,F,10,
34,2,26,,3,YD,YD,17,F,8,
35,2,27,,2,YD,YD,17,F,3,
36,2,28,,1,YD,YD,30,M,12,
37,2,29,,3,YD,YD,32,F,8,
38,2,30,,3,YD,YD,16,M,6,
39,2,31,a,0,YD,YD,32,F,6,
40,2,31,,3,YD,YD,26,F,8,
41,2,32,a,0,YD,YD,28,F,3,
42,2,32,b,0,YD,YD,30,M,8,
43,2,32,c,0,YD,YD,26,F,8,
44,2,32,,2,YD,YD,28,F,8,
45,2,33,,2,YD,YD,19,M,12,
46,2,34,a,0,YD,YD,31,M,8,
47,2,34,,1,YD,YD,19,M,7,
48,2,35,a,0,YD,YD,19,F,7,
49,2,35,,4,YD,YD,22,F,8,
50,2,36,,1,YD,YD,28,F,12,
51,2,37,,4,YD,YD,31,F,12,
52,2,38,,1,YD,YD,25,F,12,
53,2,39,,4,YD,YD,31,F,12,
54,2,40,,4,YD,YD,25,F,8,
55,2,41,a,0,YD,YD,27,F,8,
56,2,41,b,,YD,YD,26,F,8,
57,2,41,,1,YD,YD,27,F,8,
