row,version,role,syllable
1,1,A1,pae
2,1,A2,to
3,1,A3,yu
4,1,B1,mi
5,1,B2,ke
6,1,B3,nga
7,1,X1,nu
8,1,X2,le
9,1,X3,wae
10,1,X4,so
11,1,X5,ghi
12,1,X6,da
13,2,A1,nga
14,2,A2,ke
15,2,A3,da
16,2,B1,to
17,2,B2,nu
18,2,B3,wae
19,2,X1,pae
20,2,X2,yu
21,2,X3,mi
22,2,X4,le
23,2,X5,ghi
24,2,X6,so
25,3,A1,mi
26,3,A2,nu
27,3,A3,to
28,3,B1,ke
29,3,B2,da
30,3,B3,wae
31,3,X1,pae
32,3,X2,nga
33,3,X3,yu
34,3,X4,le
35,3,X5,ghi
36,3,X6,so
37,4,A1,yu
38,4,A2,pae
39,4,A3,ke
40,4,B1,nga
41,4,B2,mi
42,4,B3,to
43,4,X1,wae
44,4,X2,da
45,4,X3,nu
46,4,X4,le
47,4,X5,ghi
48,4,X6,so
