file	version
training/pae_nu_mi.wav	1
training/nga_pae_to.wav	2
training/mi_pae_ke.wav	3
training/yu_wae_nga.wav	4
training/pae_le_mi.wav	1
training/nga_yu_to.wav	2
training/mi_nga_ke.wav	3
training/yu_da_nga.wav	4
training/pae_wae_mi.wav	1
training/nga_mi_to.wav	2
training/mi_yu_ke.wav	3
training/yu_nu_nga.wav	4
training/to_nu_ke.wav	1
training/ke_pae_nu.wav	2
training/nu_pae_da.wav	3
training/pae_wae_mi.wav	4
training/to_le_ke.wav	1
training/ke_yu_nu.wav	2
training/nu_nga_da.wav	3
training/pae_da_mi.wav	4
training/to_wae_ke.wav	1
training/ke_mi_nu.wav	2
training/nu_yu_da.wav	3
training/pae_nu_mi.wav	4
training/yu_nu_nga.wav	1
training/da_pae_wae.wav	2
training/to_pae_wae.wav	3
training/ke_wae_to.wav	4
training/yu_le_nga.wav	1
training/da_yu_wae.wav	2
training/to_nga_wae.wav	3
training/ke_da_to.wav	4
training/yu_wae_nga.wav	1
training/da_mi_wae.wav	2
training/to_yu_wae.wav	3
training/ke_nu_to.wav	4
